State,Month,Rain_mm,NDVI,Suitability,War
Aj Jazirah,august,105.7693,0.270949803,0.351368029,1
Aj Jazirah,july,80.3217,0.177930787,0.351368029,1
Aj Jazirah,june,38.38611429,0.157841063,0.351368029,1
Aj Jazirah,september,41.69412857,0.354749583,0.351368029,1
Blue Nile,august,196.86966,0.672044987,0.192651762,1
Blue Nile,july,171.13102,0.53023245,0.192651762,1
Blue Nile,june,197.6602,0.37579793,0.192651762,1
Blue Nile,september,137.30608,0.706527477,0.192651762,1
Central Darfur,august,234.85895,0.54880999,0.316954189,1
Central Darfur,july,208.5458,0.38903181,0.316954189,1
Central Darfur,june,202.61005,0.253403367,0.316954189,1
Central Darfur,september,75.30775,0.549975693,0.316954189,1
East Darfur,august,159.8065,0.546149377,0.282711814,1
East Darfur,july,145.7638,0.41909012,0.282711814,1
East Darfur,june,107.7335,0.292551293,0.282711814,1
East Darfur,september,99.832,0.552061517,0.282711814,1
Gedaref,august,164.97576,0.36404896,0.348004001,0
Gedaref,july,136.88134,0.236712227,0.348004001,0
Gedaref,june,150.64676,0.184108173,0.348004001,0
Gedaref,september,111.82918,0.46774272,0.348004001,0
Kassala,august,82.0735,0.204388577,0.579267859,0
Kassala,july,58.710025,0.148987413,0.579267859,0
Kassala,june,32.05885,0.13194476,0.579267859,0
Kassala,september,52.67135,0.234638633,0.579267859,0
Khartoum,august,61.98617143,0.143955007,0.640930158,1
Khartoum,july,32.80211429,0.125522115,0.640930158,1
Khartoum,june,12.5549,0.124792893,0.640930158,1
Khartoum,september,22.40854286,0.155330837,0.640930158,1
North Darfur,august,158.0745,0.157386943,0.408102101,1
North Darfur,july,79.9838,0.128813583,0.408102101,1
North Darfur,june,56.8061,0.120374652,0.408102101,1
North Darfur,september,28.29072,0.16514783,0.408102101,1
North Kordofan,august,145.7692333,0.167767047,0.533070031,1
North Kordofan,july,76.53098333,0.135820547,0.533070031,1
North Kordofan,june,33.76015,0.129056957,0.533070031,1
North Kordofan,september,30.23086667,0.18658775,0.533070031,1
Northern,august,12.73475,0.100252283,0.300544357,0
Northern,july,5.898975,0.100605357,0.300544357,0
Northern,june,0.57505,0.100946065,0.300544357,0
Northern,september,1.075875,0.100055677,0.300544357,0
Red Sea,august,27.01995,0.09019188,0.485708268,0
Red Sea,july,8.437875,0.089482005,0.485708268,0
Red Sea,june,1.587525,0.08946752,0.485708268,0
Red Sea,september,5.949075,0.092436513,0.485708268,0
River Nile,august,50.96031667,0.098287845,0.544207691,0
River Nile,july,27.44733333,0.096621301,0.544207691,0
River Nile,june,11.30026667,0.097621382,0.544207691,0
River Nile,september,15.57458333,0.101275003,0.544207691,0
Sennar,august,161.5674333,0.459506713,0.253634146,1
Sennar,july,133.2847,0.32064416,0.253634146,1
Sennar,june,142.233,0.23477459,0.253634146,1
Sennar,september,109.0666667,0.56083569,0.253634146,1
South Darfur,august,160.2572333,0.577875217,0.240850668,1
South Darfur,july,154.6487333,0.460059167,0.240850668,1
South Darfur,june,187.3365,0.332055387,0.240850668,1
South Darfur,september,94.46666667,0.581347457,0.240850668,1
South Kordofan,august,210.5607857,0.621092617,0.258374086,1
South Kordofan,july,134.7554429,0.486555737,0.258374086,1
South Kordofan,june,134.1228286,0.342568923,0.258374086,1
South Kordofan,september,126.9844857,0.65869442,0.258374086,1
West Darfur,august,200.2244,0.402127307,0.388373801,1
West Darfur,july,137.8074,0.247165767,0.388373801,1
West Darfur,june,79.9376,0.17752613,0.388373801,1
West Darfur,september,23.3293,0.413438593,0.388373801,1
West Kordofan,august,191.3519,0.434108307,0.362056035,1
West Kordofan,july,126.2386333,0.3215564,0.362056035,1
West Kordofan,june,95.45866667,0.23615451,0.362056035,1
West Kordofan,september,101.9239333,0.457811473,0.362056035,1
White Nile,august,127.03085,0.298362473,0.450649727,1
White Nile,july,91.6962,0.204940217,0.450649727,1
White Nile,june,47.76955,0.174413593,0.450649727,1
White Nile,september,47.30485,0.358079523,0.450649727,1